Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,Comments,YouTubeCaption,Twitter,TwitterCaption,TopCandidate
Asia,Thailand,Samut Prakan,Ballyshear,2020,Hanse,New,Construction,,5/2/2020,13.609653,100.882831,https://brc.co.th/,xR9IHesKJ5I,ballyshear_golf_links,,Interview,,,Candidate
Asia,Thailand,Stonehill,Gulf National,2020,Phillips,New ,Construction,,5/2/2020,,,https://www.google.com/search?q=Stonehill+golf+course+thailand+Phillis,,,,,,,Candidate
Asia,Vietnam,Hoi An,Hoiana Shores,2020,RTJ2,New ,Open,,5/2/2020,15.8231614,108.4009876,https://www.hoiana.com/golf,mCB-8dH45RI,hoianashoresgolf,,Introduction,RTJ2GolfDesign/status/1304926532541050882,Best site,Candidate
AU/NZ,Australia,Tasmania,Arm End,2022,Crafter Mogford,New,Drawing boards,,10/17/2020,-42.9744534,147.3857366,http://www.golfstrategies.com.au/arm-end,iq-szryxlPw,,,Overhead,golfgetaways/status/824983258148413443,Edge,Candidate
AU/NZ,NZ,North Island,Tara Iti ,2023,Coore Crenshaw,New, Drawing boards ,,5/2/2020,-36.1265157,174.616897,http://www.taraiti.com/,,taraitigolfclub,,,,,Can't Miss?
AU/NZ,NZ,North Island,Tara Iti ,2023,Doak,New,Drawing Boards,,5/2/2020,-36.1265157,174.616897,https://www.doakgolf.com/te-arai-resort/,,taraitigolfclub,,,,,Can't Miss?
Europe,France,Orleans,Les Bordes (New),2020,Hanse,New,Construction,,9/22/2020,47.7332276,1.681165,https://www.lesbordes.com/,,lesbordesgolf,,,JackLaws_/status/1267919929434570754,Hole 11,Candidate
GB&I,Ireland,Donegal,St Patricks,2021,Doak,Renovation,Construction,Hackett Ohaire,5/2/2020,55.188626,-7.8317614,https://www.stpatrickslinks.ie,,stpatrickslinks,Mahermagorgan Tra Mor,,,,Candidate
GB&I,Scotland,Fife,Dumbarnie,2020,Clark,New,Open,,9/22/2020,56.2101486,-2.9763285,https://www.dumbarnielinks.com/,3nF6e6nnhyY,dumbarniegolflinks,,Opening Day,dumbarniegolf/status/1306668267793244161,Pics,Candidate
N America,Canada,Alberta,Mickelson National,2020,Mickelson,New,Open,,9/22/2020,51.118588,-114.386547,https://www.mickelsonnational.com/,wznzPUkgeyA,mickelsonnationalgolf,,Barry Ehlert,CanadaGolfCard/status/1304806616231862275,Pics,Candidate
N America,St Lucia,St Lucia,Cabot Point,2021,Coore Crenshaw,New,Construction,,9/22/2020,14.074383,-60.935679,https://cabotsaintlucia.com/,,,,,BelgianGolfer/status/1270758108122566661,Hole 17,Candidate
N America,USA,California,Brambles ,2022,Duncan Coore,New , Construction ,,6/30/2020,38.794528,-122.554361,https://brambler.wixsite.com/golf/golf,,bramblesgolf,,,coorecrenshaw/status/1275509753813360642,Start,Candidate
N America,USA,Florida,Grove XXIII ,2020,Weed ,New ,Open ,,9/24/2020,27.0455063,-80.2166297,https://www.grovexxiii.com/,,grovexxiii,,,weed_golf/status/1258029446319177729,Hole 15,Candidate
N America,USA,Florida,McArthur,2022,Coore Crenshaw,New,Drawing boards ,,11/8/2020,27.0942523,-80.169722,https://www.mcarthurgolf.com/,,,,,BPBlackMetal/status/1319298294019989504,Rumor,Candidate
N America,USA,Florida,Panther National,2022,Nicklaus,New,Drawing boards ,,9/14/2020,26.683846,-80.1798025,https://panthernational.com/,,panthernational,Avenir - 18 + 9 hole Par 3,,,,Candidate
N America,USA,Michigan,American Dunes,2021,Nicklaus,New,Construction,,9/29/2020,43.0005639,-86.2114377,https://americandunesgolfclub.com/,dc3pfYcuVHc,americandunes,was Grand Haven,Construction,GOLF_com/status/1311006605866131457,GOLF,Candidate
N America,USA,Missouri,Paynes Valley ,2020,Woods ,New ,Open,,5/13/2020,36.5650603,-93.202164,https://bigcedar.com/golf/paynes-valley-course/,TzjGh-WwenE,bigcedarlodge,,Fore,GOLF_com/status/1309828829712723969,GOLF,Candidate
N America,USA,Nebraska,CapRock Ranch,2021,Hanse ,New ,Construction,,9/22/2020,42.736804,-100.8755556,https://www.caprockranch.com/gallery,,,,,rjmcfadde/status/1303849721836888064,Bunker,Candidate
N America,USA,Nebraska,Landmand,2022,King Collins ,New ,Construction,,8/19/2020,42.3222706,-96.4986368,https://twitter.com/KingCollinsGolf,5I8QfdH3slU,kingcollinsgolf,,Flyover,KingCollinsGolf/status/1306637436508872706,11 Green,Candidate
N America,USA,North Carolina,High Hampton,2021,Tom Fazio,New,Construction,,5/7/2020,35.0989484,-83.08636,https://highhamptonnc.com,,highhamptonnc,,,,,Candidate
N America,USA,Oregon,Sheep Ranch ,2020,Coore Crenshaw ,Total Rebuild ,Open,,9/22/2020,43.2187883,-124.392781,https://sheepranch.golf/,Mur6fBtsZ48,bandondunesgolf,,Coore,BandonDunesGolf/status/1270035947497779203,SR,Candidate
